source,target,relation,source_name,target_name,stock_code,source_layer,source_industry,source_direction,remark,data_source
pcb_industry,company_600176_sh,related_company,PCB,中国巨石,600176.SH,上游,PCB材料,电子布/玻纤布,全球玻纤产能第一,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_002080_sz,related_company,PCB,中材科技,002080.SZ,上游,PCB材料,电子布/玻纤布,风电叶片+玻纤,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_603601_sh,related_company,PCB,再升科技,603601.SH,上游,PCB材料,电子布/玻纤布,微纤维玻璃棉,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_603256_sh,related_company,PCB,宏和科技,603256.SH,上游,PCB材料,电子布/玻纤布,高端电子布龙头,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_605006_sh,related_company,PCB,山东玻纤,605006.SH,上游,PCB材料,电子布/玻纤布,玻纤,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_002201_sz,related_company,PCB,正威新材,002201.SZ,上游,PCB材料,电子布/玻纤布,玻纤新材料,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_300196_sz,related_company,PCB,长海股份,300196.SZ,上游,PCB材料,电子布/玻纤布,玻纤制品,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_300936_sz,related_company,PCB,中英科技,300936.SZ,上游,PCB材料,覆铜板(CCL),高频通信材料,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_603186_sh,related_company,PCB,华正新材,603186.SH,上游,PCB材料,覆铜板(CCL),高频高速覆铜板,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_688519_sh,related_company,PCB,南亚新材,688519.SH,上游,PCB材料,覆铜板(CCL),高速覆铜板,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_600183_sh,related_company,PCB,生益科技,600183.SH,上游,PCB材料,覆铜板(CCL),国内覆铜板绝对龙头,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_002636_sz,related_company,PCB,金安国纪,002636.SZ,上游,PCB材料,覆铜板(CCL),覆铜板,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_301150_sz,related_company,PCB,中一科技,301150.SZ,上游,PCB材料,铜箔,电解铜箔,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_688388_sh,related_company,PCB,嘉元科技,688388.SH,上游,PCB材料,铜箔,锂电/电子铜箔双龙头,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_301511_sz,related_company,PCB,德福科技,301511.SZ,上游,PCB材料,铜箔,电解铜箔,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_600110_sh,related_company,PCB,诺德股份,600110.SH,上游,PCB材料,铜箔,锂电铜箔为主,AI细分行业相关标的（A股）.xlsx
pcb_industry,company_301217_sz,related_company,PCB,铜冠铜箔,301217.SZ,上游,PCB材料,铜箔,电子铜箔占比高,AI细分行业相关标的（A股）.xlsx
cmp_slurry_industry,company_688019_sh,related_company,CMP抛光液,安集科技,688019.SH,上游,半导体材料,CMP抛光材料,CMP抛光液龙头,AI细分行业相关标的（A股）.xlsx
cmp_slurry_industry,company_300054_sz,related_company,CMP抛光液,鼎龙股份,300054.SZ,上游,半导体材料,CMP抛光材料,CMP抛光垫+抛光液,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300236_sz,related_company,光刻胶,上海新阳,300236.SZ,上游,半导体材料,光刻胶,封装+晶圆光刻胶,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300346_sz,related_company,光刻胶,南大光电,300346.SZ,上游,半导体材料,光刻胶,光刻胶+特气双布局,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300576_sz,related_company,光刻胶,容大感光,300576.SZ,上游,半导体材料,光刻胶,PCB光刻胶为主,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300537_sz,related_company,光刻胶,广信材料,300537.SZ,上游,半导体材料,光刻胶,PCB/显示光刻胶,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300429_sz,related_company,光刻胶,强力新材,300429.SZ,上游,半导体材料,光刻胶,光刻胶专用化学品,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_603650_sh,related_company,光刻胶,彤程新材,603650.SH,上游,半导体材料,光刻胶,ArF/KrF光刻胶进展最快,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300721_sz,related_company,光刻胶,怡达股份,300721.SZ,上游,半导体材料,光刻胶,光刻胶溶剂原料,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300637_sz,related_company,光刻胶,扬帆新材,300637.SZ,上游,半导体材料,光刻胶,光引发剂,AI细分行业相关标的（A股）.xlsx
photoresist_material_industry,company_300655_sz,related_company,光刻胶,晶瑞电材,300655.SZ,上游,半导体材料,光刻胶,i线/KrF/ArF光刻胶全布局,AI细分行业相关标的（A股）.xlsx
